Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Owner,Type,Latitude,Longitude
1986,THE LOBBY CAFE,Fast Food - Local,COLLEGE PARK,MD,20740.0,9658 BALTIMORE AVE,------,YESHIMEHET TAMRAT,Food Establishments,39.012904,-76.928072
1987,QUICK STOP AND DELI,Carry-out,BELTSVILLE,MD,20705.0,11251 OLD BALTIMORE PIKE,------,HUGO LOPEZ,Food Establishments,39.03786,-76.903005
1988,LA BAGUETTE DE PARIS,Bakery,HYATTSVILLE,MD,20783.0,1501 UNIVERSITY BLVD,------,UN YONG Lee,Food Establishments,38.985211,-76.981773
1989,LA CHIQUITA CARRYOUT 2,Carry-out,HYATTSVILLE,MD,20783.0,1606 UNIVERSITY BLVD,------,DORA ESCOBAR,Food Establishments,38.984794,-76.980773
1990,La Flor De Mayo Bakery,Bakery,HYATTSVILLE,MD,20784.0,4600 COOPER LN,------,Sidronio MARTILLA,Food Establishments,38.942481,-76.904384
1991,LA FLOR DE PUEBLA,,RIVERDALE,MD,20737.0,6300 KENILWORTH AVE,------,SARA MORENO,Food Establishments,38.964191,-76.919003
1992,LA GRANDE SUPERMARKET,Grocery Store,RIVERDALE,MD,20737.0,5821 RIVERDALE RD,------,SOO YOUNG LEE,Food Establishments,38.959996,-76.915519
1994,Lanham Sunoco A-Plus,Gas Station Store,GLENARDEN,MD,20706.0,9105 ANNAPOLIS RD,------,SHAFIQ UMAR,Food Establishments,38.963622,-76.857123
1995,Largo Community Church,Church/Temple/Mosque,MITCHELLVILLE,MD,20721.0,1701 ENTERPRISE RD,------,DWAYNE HOOPER,Food Establishments,38.913274,-76.800398
1996,LARRY'S COOKIES,Bakery,HYATTSVILLE,MD,20782.0,3500 EAST WEST HWY,------,SUN T LEE,Food Establishments,38.966903,-76.958574
1997,LAUREL CONVENIENCE STORE,Convenience Store,LAUREL,MD,20708.0,14511 BOWIE RD,------,VIJAYKUMAR PATEL,Food Establishments,39.089785,-76.846681
1999,LAUREL TAVERN,Bar/Tavern/Lounge,LAUREL,MD,20707.0,115 WASHINGTON BLVD,------,WONIL KWON,Food Establishments,39.10349,-76.84437
2000,CHUNKS GRILLED FRIED,Fast Food - Local,NATIONAL HARBOR,MD,20745.0,6069 OXON HILL RD,A,ABDULLAH MOCTAR,Food Establishments,38.804422,-76.980031
2001,LITTLE CAESARS,Fast Food - Chain,LANHAM,MD,20706.0,9425 ANNAPOLIS RD,------,IRFAAN LALANI,Food Establishments,38.965248,-76.844743
2002,LITTLE CAESARS,Carry-out,DISTRICT HTS,MD,20747.0,5850 SILVER HILL RD,------,MORY GHOLAMI,Food Establishments,38.856161,-76.905352
2003,CHICAGO STYLE SHARK'S SEAFOOD FISH & CHICKEN,Fast Food - Chain,TEMPLE HILLS,MD,20748.0,3907 BRANCH AVE,------,MOHAMED ALAM,Food Establishments,38.837083,-76.94484
2004,SILVESTRE CHICKEN,Fast Food,TEMPLE HILLS,MD,20748.0,7061 ALLENTOWN RD,------,MARVIN CASTRO,Food Establishments,38.793452,-76.925973
2005,LITTLE CAESARS 1940-10,Fast Food - Chain,MOUNT RAINIER,MD,20712.0,3213 QUEENS CHAPEL RD,------,IRFAAN LALANI,Food Establishments,38.951953,-76.966615
2006,LITTLE CAESARS PIZZA,Fast Food - Chain,BLADENSBURG,MD,20710.0,5438 ANNAPOLIS RD,------,Irfaan Lalani,Food Establishments,38.938886,-76.92374
2007,LOS AMIGOS LATIN MARKET,Grocery Store,COLLEGE PARK,MD,20740.0,5003 GREENBELT RD,------,RAUL LUCERO,Food Establishments,38.998104,-76.924501
2009,MARLBOROUGH HOUSE MINI MART,Convenience Store,TEMPLE HILLS,MD,20748.0,3001 BRANCH AVE,T-17,MICHAEL ANTHONY BUTLER,Food Establishments,38.854525,-76.957694
2010,MARLOW CINEMA 6,Snack Bar/Concession Stand,TEMPLE HILLS,MD,20748.0,3899 BRANCH AVE,------,Philip Zacheretti,Food Establishments,38.836711,-76.944554
2011,MARLTON GOLF CLUB,Private Club,UPPER MARLBORO,MD,20772.0,9413 MIDLAND TURN,------,Henry TURNER JR,Food Establishments,38.757077,-76.788076
2012,MARYLAND SEAFOOD & CRAB,Carry-out,BRENTWOOD,MD,20722.0,3751 BLADENSBURG RD,------,JONG LEE,Food Establishments,38.934973,-76.950783
2013,VIAGGIO PIZZA,Fast Food - Chain,National Harbor,MD,20745.0,150 American WAY,------,KENT DIGBY,Food Establishments,38.78444,-77.01553
2014,MCDONALDS,Fast Food - Chain,LANDOVER,MD,20785.0,7708 LANDOVER RD,------,ISAAC GREEN,Food Establishments,38.927407,-76.881013
2015,MCDONALDS 7165,Fast Food - Chain,LANHAM-SEABROOK,MD,20706.0,10585 GREENBELT RD,------,STEVE EASTERBROOK,Food Establishments,38.989877,-76.8233
2016,MCDONALDS 5579,Fast Food - Chain,HYATTSVILLE,MD,20783.0,7911 NEW HAMPSHIRE AVE,------,CHRIS KEMPCZINSKI,Food Establishments,38.9894,-76.987568
2017,MCDONALDS,Fast Food - Chain,TEMPLE HILLS,MD,20748.0,3501 BRANCH AVE,------,LUIS GAUIGNANO,Food Establishments,38.843571,-76.949829
2018,MCDONALDS 5044,Fast Food,LANHAM-SEABROOK,MD,20706.0,9007 ANNAPOLIS RD,------,STEVE EASTERBROOK,Food Establishments,38.961494,-76.86221
2019,MCDONALDS 7508,Fast Food,BELTSVILLE,MD,20705.0,4000 POWDER MILL RD,------,STEVE EASTERBROOK,Food Establishments,39.047624,-76.93675
2020,MCDONALDS 7682,Fast Food - Chain,BOWIE,MD,20715.0,14300 GALLANT FOX LN,------,STEVE EASTERBROOK,Food Establishments,38.97246,-76.757731
2021,MCDONALDS,Fast Food,MITCHELLVILLE,MD,20721.0,12168 CENTRAL AVE,------,GERALD FAIR SR,Food Establishments,38.899675,-76.795034
2022,MCDONALDS 34360,Fast Food,NATIONAL HARBOR,MD,20745.0,121 NORTH COVE TER,------,Craig Welburn,Food Establishments,38.790243,-77.013524
2024,MCDONALDS,Fast Food,COLLEGE PARK,MD,20740.0,8301 BALTIMORE AVE,------,LUIS GAVIGNANO,Food Establishments,38.992162,-76.933348
2025,MCDONALDS,Fast Food,OXON HILL,MD,20745.0,5500 ST BARNABAS RD,------,LUIS GAUIGNANO,Food Establishments,38.814129,-76.964503
